-0.374,others,royal mail chairman donald brydon set to step down
-0.24,risks,stakes high for astrazeneca heart drug facing tough competition
-0.161,others,update 1-dairy crest loses a third of morrisons milk contract
0.137,others,insight hires aviva's david hillier for multi-asset team
0.704,others,primark racks up a happy christmas after strong sales
0.446,fundamentals,update 1-pearson expects to grow this year after solid end to 2014
0.136,others,tesco sells blinkbox and broadband service to talktalk
0.192,others,tesco sells blinkbox and broadband service to talktalk
0.213,others,unilever profit rises despite sales slump in china
0.389,others,tesco leads leap in ftse 100; marks & spencer drops
0.65,others,royal dutch shell profit rises; dividend up 4%
0.195,others,morning agenda: shire's deal for nps
0.119,others,carnival corporation and china merchants group sign memo of understanding ...
0.242,regulatory,teva: fda approves generic version of astrazeneca heartburn drug
0.476,regulatory,teva: fda approves generic version of astrazeneca heartburn drug
0.329,others,passengers rise at easyjet and aer lingus
-0.195,others,tesco abandons video-streaming ambitions in blinkbox sale
-0.335,others,tesco abandons video-streaming ambitions in blinkbox sale
0.332,m&a,"fda approves nps drug, in move validating shire takeover deal"
0.171,legal,ocwen reaches settlement with california regulator
-0.113,others,morrisons faces festive sales test
-0.357,price action,tesco share price dips as blinkbox books closes ending supermarket's digital ...
-0.389,price action,tesco share price dips as blinkbox books closes ending supermarket's digital ...
0.235,m&a,shire to buy nps for $5.2 billion to boost rare disease drugs
0.295,others,astrazeneca's medimmune inks licensing deal with omnis pharmaceuticals
0.291,regulatory,fda approves shire's vyvanse for binge-eating disorder
0.245,ipo,companies thetrainline.com announces arrival of london ipo
0.12,m&a,breakingviews: iag can pay more for aer lingus
0.719,price action,tesco share price jumps as q3 sales top estimates
0.282,others,crh's concrete bid for holcim lafarge assets
0.975,price action,persimmon share price climbs on 23% rise in full-year revenue
-0.261,legal,ruling sets lower limit on potential fine for bp
-0.526,price action,reed elsevier share price slides on underwhelming full-year results
0.021,fundamentals,update 1-meggitt reiterates annual outlook after tough 2014
-0.827,volatility,slump in weir leads ftse down from record high
0.401,others,bunzl lifts dividend again as acquisitions continue to boost profits
0.522,others,refile-update 4-britain's lloyds to pay first dividend since rescue
0.189,m&a,glaxosmithkline set to complete $20 billion novartis asset swap next week
-0.854,price action,meggitt share price tumbles as profit falls in 'challenging year'
-0.12,volatility,analyst views: astrazeneca shares have seen recent volatility; what will 2015 ...
0.571,market,arm royalties accelerate as smartphone market regains strength
0.101,others,conagra names former hillshire farms ceo connolly to top post
0.069,others,bg group appoints new ceo one month early
-0.314,others,"glencore cuts 2015 budget, plans to divest from lonmin"
0.048,central banks,u.s. debt lures schroders as ecb depresses rates
-0.498,others,tullow oil suspends dividend amid oil price fall
-0.402,risks,"oil majors like royal dutch shell, chevron, bp fail to find reserves to counter ..."
-0.358,risks,standard chartered lags on capital worries
0.364,others,standard life share price: insurer buys advice firm pearson jones
0.129,others,tesco closes in on new chairman with dixons carphone's john allan in the frame
0.295,others,tesco closes in on new chairman with dixons carphone's john allan in the frame
0.495,fundamentals,millercoors delivers 2.9% underlying net income growth for 2014
0.089,others,rbs will reportedly appoint howard davies as its next chairman
-0.594,legal,hsbc hit by fresh details of tax evasion claims
0.42,others,relief for lewis as tesco sees sales grow for first time in a year
-0.114,others,morrisons finance chief to fill gap as ceo leaves early
0.937,fundamentals,"update: persimmon profit up strongly, outlook positive"
0.365,others,trlpc - crh backs lafarge holcim asset buy with 6.5 bln euro bridge loan
0.139,others,tesco shareholders back itv head for chairman
0.316,others,"buffett's berkshire builds deere stake, dumps exxon"
-0.548,others,"buffett's berkshire builds deere stake, dumps exxon"
-0.675,regulatory,aviva fined $27 million by u.k. regulator over fee failings
-0.656,legal,astrazeneca's patent on asthma drug invalidated by us court
-0.075,legal,rolls-royce to ensure compliance after petrobras bribery report
0.513,price action,whitbread share price climbs on q4 sales growth
0.144,company communication,warren buffett defends berkshire hathaway's conglomerate structure
0.252,risks,g4s sees profits rise but uk contract problems remain
0.387,financial,friends life lifts profits 38% and hikes divi ahead of proposed aviva takeover
0.655,price action,auto trader share price surges as company floats on lse
-0.181,risks,new credit suisse boss faces stiff challenge in asia
0.284,others,"update: easyjet passenger numbers, aer lingus traffic up in february"
0.315,others,"update: easyjet passenger numbers, aer lingus traffic up in february"
0.161,others,is it worth investing in tesco plc and prudential plc now?
0.516,market,uk winners & losers: aviva and friends life lead ftse 100 gainers
0.536,market,sainsbury's says to outperform rivals in tough market
-0.253,m&a,companieskingfisher bid for mr bricolage runs into trouble
0.641,ipo,update 3-auto trader shares leap in uk's biggest private equity-backed listing
0.514,market,"london open: taylor wimpey and ashtead drive markets higher, barclays falls"
-0.657,market,"london open: taylor wimpey and ashtead drive markets higher, barclays falls"
0.508,market,"london open: taylor wimpey and ashtead drive markets higher, barclays falls"
0.264,others,gsk and novartis complete deals to reshape both drugmakers
0.39,m&a,"aviva, friends life top forecasts ahead of 5.6 billion pound merger"
0.283,m&a,citigroup to sell onemain to springleaf for $4.25 billion
0.225,m&a,citigroup to sell onemain to springleaf for $4.25 billion
0.544,price action,"u.k. stocks resume gains to rally to record; crh, tullow climb"
-0.437,price action,british american tobacco drops and sues pwc over pollution scandal
-0.651,market,uk's ftse has worst day so far in 2015 as bg and prudential fall
-0.158,rumors,"kraft, cadbury's and britvic in total recall: how pulling a product affects profit"
-0.179,rumors,"kraft, cadbury's and britvic in total recall: how pulling a product affects profit"
0.214,m&a,how kraft-heinz merger came together in speedy 10 weeks
0.364,others,astrazeneca teams with daiichi sankyo to sell movantik in us
0.369,others,astrazeneca teams with daiichi sankyo to sell movantik in us
-0.216,price action,rbi surprises street; sensex pares gains after hitting mount 30k
0.125,others,credit suisse poaches prudential's thiam for asian push
-0.031,others,credit suisse poaches prudential's thiam for asian push
-0.311,m&a,kingfisher takeover of mr bricolage could hit a brick wall
-0.508,price action,"u.k. stocks little changed near record as barclays, shell fall"
0.053,price action,insurers: admiral blows hot and cold but aviva soars pre-friends life merger
0.361,others,astrazeneca and daiichi sankyo to jointly commercialise movantik in the us
0.454,others,astrazeneca and daiichi sankyo to jointly commercialise movantik in the us
0.379,others,legal & general arm buys 50 pct stake in mediacityuk in manchester
-0.052,others,randgold profit hit by poor gold price but dividend still increases
0.494,others,"companiestravis perkins lifts dividend, earnings rise 15%"
0.443,market,market report: aviva tops the market as traders approve of its choice of friends
0.025,others,insurer old mutual picks standard bank's hemphill as new ceo
0.143,regulatory,"fda panel backs safety updates for astrazeneca, takeda drugs"
-0.198,regulatory,"fda panel backs safety updates for astrazeneca, takeda drugs"
0.0,risks,companiesdiageo stays neutral on india boardroom turmoil
-0.046,others,germanwings disaster will not affect image of budget air travel - easyjet
0.096,others,germanwings disaster will not affect image of budget air travel - easyjet
-0.345,rumors,shell's $70 billion bg deal meets shareholder skepticism
0.193,m&a,shell offers 50 percent premium to buy bg for $70 billion
0.251,others,wpp boosts sales despite cautious clients
